Date	ActualValue	ForecastValue	PreviousValue
2022.06.16	-0.25		-0.75
2022.03.24	-0.75		-0.75
2021.12.16	-0.75		-0.75
2021.09.23	-0.75		-0.75
2021.06.17	-0.75		-0.75
2021.03.25	-0.75		-0.75
2020.12.17	-0.75		-0.75
2020.09.24	-0.75		-0.75
2020.06.18	-0.75		-0.75
2020.03.19	-0.75		-0.75
2019.12.12	-0.75		-0.75
2019.09.19	-0.75		-0.75
2019.06.13	-0.75		-0.75
2019.03.21	-0.75		-0.75
2018.12.13	-0.75		-0.75
2018.09.20	-0.75		-0.75
2018.06.21	-0.75		-0.75
2018.03.15	-0.75	-0.71	-0.75
2017.12.14	-0.75	-0.80	-0.75
2017.09.14	-0.75		-0.75
2017.06.15	-0.75		-0.75
2017.03.16	-0.75		-0.75
2016.12.15	-0.75		-0.75
2016.09.15	-0.75		-0.75
2016.06.16	-0.75		-0.75
2016.03.17	-0.75		-0.75
2015.12.10	-0.75		-0.75
2015.09.17	-0.75		-0.75
2015.06.18	-0.75		-0.75
2015.03.19	-0.75		-0.75
2015.01.15	-0.75		-0.25
2014.12.18	-0.25		0.00
2014.12.11	0.00		0.00
2014.09.18	0.00		0.00
2014.06.19	0.00		0.00
2014.03.20	0.00		0.00
2013.12.12	0.00		0.00
2013.09.19	0.00		0.00
2013.06.20	0.00		0.00
2013.03.14	0.00		0.00
2012.12.13	0.00		0.00
2012.09.13	0.00		0.00
2012.06.14	0.00		0.00
2012.03.15	0.00		0.00
2011.12.15	0.00		0.00
2011.09.15	0.00		0.00
2011.08.03	0.00		0.25
2011.06.16	0.25		0.25
2011.03.17	0.25		0.25
2010.12.16	0.25		0.25
2010.09.16	0.25		0.25
2010.06.17	0.25		0.25
2010.03.11	0.25		0.25
2009.12.10	0.25		0.25
2009.09.17	0.25		0.25
2009.06.18	0.25		0.25
2009.03.12	0.25		0.50
2008.12.11	0.50		1.00
2008.11.20	1.00		2.00
2008.11.06	2.00		2.50
2008.10.08	2.50		2.75
2008.09.18	2.75		2.75
2008.06.19	2.75		2.75
2008.03.13	2.75		2.75
2007.12.13	2.75		2.75
2007.09.13	2.75		2.50
2007.06.14	2.50		2.25
2007.03.15	2.25		
